engine_power,age_in_days,km,previous_owners,lat,lon,price
51,882,25000,1,44.90724182,8.611559868,8900
51,1186,32500,1,45.66635895,12.24188995,8800
74,4658,142228,1,45.50329971,11.41784,4200
51,2739,160000,1,40.63317108,17.63460922,6000
73,3074,106880,1,41.90322113,12.49565029,5700
74,3623,70225,1,45.0007019,7.68227005,7900
51,731,11600,1,44.90724182,8.611559868,10750
51,1521,49076,1,41.90322113,12.49565029,9190
73,4049,76000,1,45.54800034,11.54946995,5600
51,3653,89000,1,45.43830109,10.99170017,6000
51,790,43286,1,40.87142944,14.43896008,8950
51,366,17500,1,45.06967926,7.704919815,10990
51,456,18450,1,45.42657089,11.78812981,9700
51,3835,120000,1,40.53158951,17.43615913,4800
51,1035,40500,1,40.91136169,14.21119976,9300
51,1096,28200,1,45.6972084,9.845970154,9500
73,4200,110000,1,41.08235168,14.25424957,5250
51,2223,96848,1,43.78237152,11.25498962,7990
51,2861,31000,1,45.06967926,7.704919815,7300
51,425,20030,1,45.35438919,11.86925983,10500
51,397,19037,1,45.70724869,11.4776001,10500
51,1886,110000,1,40.83581161,14.50440979,6990
51,1035,8000,1,44.50608826,12.04417038,10600
51,790,27595,1,45.68825912,8.731450081,10200
51,1583,14900,1,45.06967926,7.704919815,9990
51,366,9218,1,45.43811035,12.31814957,10800
51,3592,124000,1,40.96617889,17.11647987,6800
51,3531,100000,1,40.97645187,14.17228031,4950
51,762,28900,1,45.13167191,8.449170113,10640
51,670,4000,1,41.34975052,13.35332012,9500
62,2769,59216,1,43.78237152,11.25498962,6990
51,4169,99477,2,40.55056381,14.22562504,5900
51,821,21730,2,41.90322113,12.49565029,10500
51,3927,140000,2,40.75593185,14.69019032,5200
51,640,32033,2,44.28387833,11.88813972,9790
51,3653,138116,2,40.63317108,17.63460922,5000
51,852,17000,1,45.50516129,8.939100266,8990
51,3013,58527,1,45.68825912,8.731450081,7200
51,790,43100,1,45.33407974,11.37687016,9950
51,1858,13373,1,41.90322113,12.49565029,9000
51,4139,119000,1,45.34931946,7.742599964,4890
51,609,28500,1,45.74602127,9.049969673,10900
51,1096,83000,1,41.95972061,12.79805565,7900
73,4049,98000,1,38.2181282,15.2402401,5999
51,456,12693,1,45.39360046,10.48223972,10900
51,762,14586,1,42.34196854,12.35848999,10500
51,821,27640,1,41.90322113,12.49565029,10400
51,2039,49000,1,41.90322113,12.49565029,7500
51,3684,160000,1,45.4054718,10.27828979,4900
51,4596,107000,1,40.84590149,14.36927032,4300
51,2192,66000,1,40.8401413,14.25226021,6999
51,790,35000,1,45.33407974,11.37687016,10200
51,1186,24651,1,41.90322113,12.49565029,9300
62,3288,71900,1,41.06240082,14.27388,5990
51,701,11200,1,46.17649841,9.903670311,10600
51,3288,124050,1,43.86997986,10.3398304,5500
51,1066,69395,1,45.23141098,9.592889786,7450
51,456,17961,1,45.39360046,10.48223972,10900
51,670,18669,1,45.0007019,7.68227005,10990
51,1431,22700,1,41.90322113,12.49565029,8900
51,4169,56000,1,45.46796036,9.181779861,5900
51,701,22669,1,45.06967926,7.704919815,9500
73,2557,50000,1,42.15787888,11.90227985,8250
51,2343,39743,1,45.69522858,9.669509888,8800
51,456,27466,1,45.39360046,10.48223972,9800
51,548,22609,1,45.6958313,9.180390358,9900
51,1461,94485,1,44.50883865,11.46907997,7450
51,4261,188000,1,41.06240082,14.27388,4490
51,2343,94000,1,45.43811035,12.31814957,7400
51,2192,60786,1,43.9381218,10.91257954,7900
51,1096,41950,1,41.66950989,12.50222969,10700
51,456,16971,1,45.39360046,10.48223972,10900
51,4108,45300,1,41.29956055,13.03258991,7400
51,4108,45300,1,41.29956055,13.03258991,7400
51,3227,75359,1,45.06967926,7.704919815,7800
51,366,12585,1,45.06967926,7.704919815,9900
62,2101,103000,1,45.79785919,8.644439697,7900
51,2739,77149,3,44.75489044,8.031900406,7800
51,456,13587,3,45.39360046,10.48223972,10900
51,1797,55595,3,45.76697922,11.73840046,7800
51,397,17250,3,45.06967926,7.704919815,10050
51,4292,145000,3,41.06240082,14.27388,4799
51,790,20849,1,41.90322113,12.49565029,8100
51,3988,107375,1,41.37656021,14.07629967,5800
63,2009,100000,1,45.31818008,9.105690002,7500
51,456,17841,1,45.39360046,10.48223972,10900
51,762,44778,1,45.5712204,9.159139633,9390
51,3258,78681,1,45.67927933,9.237190247,7490
51,4474,123000,1,40.63317108,17.63460922,4900
51,397,17912,1,41.83264923,12.75259972,9970
51,1066,69916,1,41.80298996,12.59893036,8980
51,2647,97700,1,44.50883865,11.46907997,7450
51,366,11500,1,45.70724869,11.4776001,9500
51,397,17250,1,45.46796036,9.181779861,10050
51,366,12372,1,38.91444016,16.58436012,10465
51,4292,165600,1,44.71540833,11.30830002,5950
51,1066,28000,1,41.7690506,12.66281033,8500
51,2009,86000,2,40.63317108,17.63460922,7800
51,456,18592,2,45.39360046,10.48223972,10900
51,731,41558,2,45.5712204,9.159139633,8790
51,4018,96000,2,44.29430008,9.674440384,5700
51,701,19000,1,41.26411057,13.74499035,10000
51,397,18183,1,41.83264923,12.75259972,9970
51,1066,69916,1,41.80298996,12.59893036,8980
51,2647,75500,1,44.50883865,11.46907997,7500
51,1827,39500,1,45.67340088,9.926890373,9800
51,397,17250,1,41.90322113,12.49565029,10050
51,3835,128000,1,45.76464844,8.99450016,4900
51,366,12929,1,45.55654907,9.534469604,9400
51,3562,113254,2,44.30582047,8.483639717,6100
51,366,18000,1,41.26411057,13.74499035,10700
51,397,16643,1,41.83264923,12.75259972,9970
51,2892,92300,1,43.88206863,11.10035038,7500
51,640,34873,1,40.85889816,14.35719013,9500
51,4018,102000,1,41.35784912,13.42463017,6500
51,397,16135,1,45.35776901,9.612210274,10650
51,3865,95350,1,41.90322113,12.49565029,5500
51,425,19909,1,45.72071838,7.321430206,10950
51,425,16518,1,44.39997101,8.274499893,11000
62,3135,113000,1,45.43811035,12.31814957,5800
51,1096,50000,1,40.92166901,14.19626999,9500
62,3013,120000,1,45.06967926,7.704919815,4900
51,3227,105000,1,45.6848793,9.717909813,6500
51,2831,104000,1,45.96493149,12.6445303,6000
51,2831,56779,4,41.90322113,12.49565029,7500
51,397,17590,1,41.83264923,12.75259972,9970
51,1127,7772,1,41.06985092,15.05898952,9000
51,2861,85000,1,45.6095314,10.20856953,7700
51,3623,75900,1,43.78237152,11.25498962,6300
